Tool:	elog
Version:	2.0
Date:	2025-07-03 14:03:47
System Name:	C:/Users/DELL/OneDrive/Máy tính/Gofa_caffe_1/Virtual Controllers/CRB15000_5_95
RobotWare:	7.18.1
RobotControl:	7.18.1
Controller Name:	CRB15000_5_95
Controller Id:	VIRTUAL_CONTROLLER



Common log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
142       	I		Common              	10016   	<title>   	1970-01-01 07:01:30:578008	<description>	
141       	I		Common              	10015   	<title>   	1970-01-01 07:01:30:542038	<description>	
140       	I		Common              	10012   	<title>   	1970-01-01 07:01:29:374077	<description>	
139       	I		Common              	10010   	<title>   	1970-01-01 07:01:29:374055	<description>	
138       	I		Common              	10011   	<title>   	1970-01-01 07:01:29:374024	<description>	
137       	I		Common              	10400   	<title>   	1970-01-01 07:01:28:545002	<description>	{args: "Admin", "RobAPI2-Client"}
136       	I		Common              	10400   	<title>   	1970-01-01 07:01:28:501002	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
135       	I		Common              	10150   	<title>   	1970-01-01 07:01:26:307224	<description>	{args: "1", "SC_CBC"}
134       	I		Common              	10150   	<title>   	1970-01-01 07:01:26:307211	<description>	{args: "3", "T_GOFA_LED"}
133       	I		Common              	10129   	<title>   	1970-01-01 07:01:26:307200	<description>	{args: "3", "T_GOFA_LED", "9"}
132       	I		Common              	10129   	<title>   	1970-01-01 07:01:26:307173	<description>	{args: "2", "T_ROB1", "9"}
131       	I		Common              	10150   	<title>   	1970-01-01 07:01:26:307146	<description>	{args: "3", "T_GOFA_LED"}
130       	I		Common              	10155   	<title>   	1970-01-01 07:01:26:307138	<description>	{args: "2", "T_ROB1"}
129       	I		Common              	10002   	<title>   	1970-01-01 07:01:26:307125	<description>	{args: "3", "0", "T_GOFA_LED"}
128       	I		Common              	10002   	<title>   	1970-01-01 07:01:26:307116	<description>	{args: "1", "0", "SC_CBC"}
127       	W		Common              	40210   	<title>   	1970-01-01 07:01:26:307107	<description>	{args: "T_GOFA_LED"}
126       	I		Common              	10017   	<title>   	1970-01-01 07:01:26:307037	<description>	
125       	I		Common              	10010   	<title>   	1970-01-01 07:01:26:307010	<description>	
124       	W		Common              	90526   	<title>   	1970-01-01 07:01:25:874001	<description>	
123       	I		Common              	10045   	<title>   	1970-01-01 07:00:00:033013	<description>	
122       	I		Common              	10056   	<title>   	1970-01-01 07:09:34:651002	<description>	
121       	I		Common              	10401   	<title>   	1970-01-01 07:09:34:176001	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
120       	I		Common              	10401   	<title>   	1970-01-01 07:09:34:158002	<description>	{args: "Admin", "RobAPI2-Client"}
119       	I		Common              	10010   	<title>   	1970-01-01 07:01:46:362023	<description>	
118       	W		Common              	90526   	<title>   	1970-01-01 07:01:46:358001	<description>	
117       	I		Common              	10012   	<title>   	1970-01-01 07:01:42:362014	<description>	
116       	I		Common              	10011   	<title>   	1970-01-01 07:01:42:352028	<description>	
115       	I		Common              	10400   	<title>   	1970-01-01 07:01:41:471002	<description>	{args: "Admin", "RobAPI2-Client"}
114       	I		Common              	10400   	<title>   	1970-01-01 07:01:41:413001	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
113       	I		Common              	10150   	<title>   	1970-01-01 07:01:38:235496	<description>	{args: "1", "SC_CBC"}
112       	I		Common              	10150   	<title>   	1970-01-01 07:01:38:235483	<description>	{args: "3", "T_GOFA_LED"}
111       	I		Common              	10129   	<title>   	1970-01-01 07:01:38:235472	<description>	{args: "3", "T_GOFA_LED", "9"}
110       	I		Common              	10129   	<title>   	1970-01-01 07:01:38:235445	<description>	{args: "2", "T_ROB1", "9"}
109       	I		Common              	10150   	<title>   	1970-01-01 07:01:38:235418	<description>	{args: "3", "T_GOFA_LED"}
108       	I		Common              	10155   	<title>   	1970-01-01 07:01:38:235410	<description>	{args: "2", "T_ROB1"}
107       	I		Common              	10002   	<title>   	1970-01-01 07:01:38:235397	<description>	{args: "3", "0", "T_GOFA_LED"}
